"Product Code","Call No","Closed Date","Chargeable","Days With APT","Project Work"
"MS","165089","9 Apr 2015","N","104",""
"MS","165444","12 May 2015","Y","104","N"
"MS","165594","4 Jun 2015","N","104","N"
"MS","165303","10 Jun 2015","N","105","N"
"MS","166602","6 Aug 2015","N","105","N"
"MS","165448","14 May 2015","N","106","N"
"MS.WEB","166147","16 Jul 2015","U","106",""
"VISAGE","166985","8 Sep 2015","R","106",""
"MS","167000","30 Sep 2015","Y","106","N"
"MS","163788","9 Jun 2015","N","107","N"
"MS","164596","20 May 2015","N","107","N"
"MS","166954","4 Sep 2015","U","107","Y"
"MS","166960","4 Sep 2015","U","107","Y"
"MS","167610","13 Nov 2015","Y","107",""
"MS","163641","13 Jan 2015","N","108","N"
"MS.WEB","164655","2 Mar 2015","N","108","N"
"MS.WEB","165334","7 May 2015","N","108",""
"SHOP","166018","23 Jul 2015","U","108",""
"MS","167135","30 Dec 2015","N","108","N"
"INFORMER","168483","30 Dec 2015","U","108","Y"
"VISAGE","162552","4 Sep 2015","Y","109",""
"VISAGE","165596","11 Jun 2015","U","109",""
"MS","167803","6 Nov 2015","C","109",""
"MS","164855","9 Apr 2015","N","110","N"
"MS","167033","15 Sep 2015","Y","110","Y"
"WEBDE","163200","9 Mar 2015","Y","111",""
"MS","165051","14 Apr 2015","Y","111","N"
"MS","160252","4 Feb 2015","R","112","Y"
"MS","165348","14 May 2015","N","112","N"
"MS","166083","21 Jul 2015","U","112","Y"
"MS","167545","1 Dec 2015","R","112",""
"MS","164573","6 May 2015","U","113",""
"MS","167038","18 Nov 2015","U","113",""
"MS","163774","13 Jan 2015","N","114","N"
"MS","165297","14 May 2015","N","115","N"
"MS","164978","21 May 2015","Y","116",""
"MS","166519","29 Oct 2015","Y","117","N"
"MS","166785","9 Sep 2015","Y","117","Y"
"PWF","164874","21 Jul 2015","R","118","Y"
"MS","165306","20 May 2015","N","118","N"
"MS","158863","11 Feb 2015","R","119","N"
"MS","165643","9 Sep 2015","Y","119","N"
"SP","166175","5 Aug 2015","U","119",""
"MS","163642","25 Feb 2015","Y","121",""
"INFORMER","163669","29 Jan 2015","Y","121",""
"MS","164394","18 Feb 2015","Y","122","Y"
"MS","164987","27 May 2015","U","122",""
"MS","165692","23 Jul 2015","N","122","N"
"MS","165777","11 Sep 2015","Y","122","N"
"SP","167458","11 Nov 2015","Y","122",""
"MS.WEB","161374","26 Aug 2015","Y","123","N"
"MS","166292","5 Nov 2015","N","124","N"
"MS","167024","6 Oct 2015","N","124",""
"ISM","165471","11 Jun 2015","N","125",""
"MS","166670","8 Sep 2015","N","125","N"
"MS","163704","27 May 2015","N","126","N"
"MS","165494","9 Jul 2015","N","126","N"
"MS","167431","14 Dec 2015","U","126",""
"INFORMER","166222","19 Aug 2015","F","127",""
"MS","166868","13 Nov 2015","Y","127","N"
"MS","167141","19 Oct 2015","U","128","Y"
"MS","164302","27 May 2015","N","129","N"
"PWF","165922","6 Aug 2015","N","129",""
"MS","166102","18 Aug 2015","N","129","N"
"MS","163502","7 Jan 2015","Y","130",""
"MS.WEB","167148","17 Dec 2015","Y","131",""
"MS","164540","20 Mar 2015","U","132",""
"MS","166038","5 Oct 2015","Y","132","N"
"MS","165883","6 Aug 2015","N","133","N"
"INFORMER","163629","25 Mar 2015","N","134","N"
"MS","164109","25 Mar 2015","N","134","N"
"INFORMER","163521","29 Apr 2015","N","135","N"
"MS","164792","21 Apr 2015","N","136","N"
"MS","166879","13 Nov 2015","R","136","N"
"MS","164650","1 May 2015","U","137",""
"MS","168370","21 Dec 2015","Y","137","Y"
"MS","168371","21 Dec 2015","Y","137","Y"
"MS","168372","21 Dec 2015","Y","137","Y"
"MS","168373","21 Dec 2015","Y","137","Y"
"MS","164396","29 May 2015","U","138",""
"MS","165392","23 Sep 2015","Y","138","N"
"MS","166557","17 Sep 2015","U","138","Y"
"UNIDATA","301928","27 May 2015","N","138","N"
"VISAGE","167613","4 Dec 2015","R","138",""
"PWF","167500","26 Nov 2015","U","139","Y"
"INFORMER","165161","4 Jun 2015","N","140",""
"MS","163946","28 Jan 2015","N","141","N"
"SPECTRUM","164497","18 May 2015","Y","141","N"
"MS","165115","4 Jun 2015","N","143",""
"SP","167460","18 Dec 2015","Y","144",""
"MS","165555","7 Aug 2015","N","145","N"
"MS","165732","7 Oct 2015","N","145","N"
"MS","166059","8 Sep 2015","U","145",""
"MS","167509","21 Dec 2015","Y","146",""
"VISAGE","164064","18 Feb 2015","Y","147","Y"
"MS","164877","27 May 2015","N","147","N"
"MS.WEB","165146","11 Jun 2015","N","147",""
"MS","166061","23 Dec 2015","N","147","N"
"PWF","167022","5 Nov 2015","U","147","Y"
"MS.WEB","167499","8 Dec 2015","U","147","Y"
"MS","163218","3 Jun 2015","Y","148","N"
"SHOP","161992","27 May 2015","Y","149","N"
"MS","166981","13 Nov 2015","N","149","N"
"INFORMER","163638","17 Apr 2015","N","151","N"
"MS","167235","27 Nov 2015","N","151","N"
"MS","165884","2 Sep 2015","Y","152","N"
"VISAGE","166569","8 Oct 2015","U","152",""
"MS","167317","4 Dec 2015","N","153","N"
"MS","162450","20 Jan 2015","Y","154","N"
"MS","165076","5 Nov 2015","N","154","N"
"MS","166957","10 Nov 2015","N","154","N"
"MS","163263","2 Mar 2015","N","155","N"
"MS","165896","9 Sep 2015","N","155","N"
"MS","164482","21 Jul 2015","N","156","N"
"MS","163564","19 Jan 2015","N","157",""
"MS","163848","11 Mar 2015","Y","157","N"
"SPECTRUM","164746","18 May 2015","N","158","N"
"MS","166631","23 Nov 2015","Y","158","N"
"MS.WEB","166872","20 Nov 2015","R","158",""
"MS","163383","5 Jan 2015","N","159","N"
"SP","166906","11 Nov 2015","Y","159","Y"
"MS","166684","29 Oct 2015","N","160",""
"VISAGE","166816","6 Nov 2015","N","160","N"
"ZZ","167355","17 Dec 2015","N","160",""
"ZZ","167363","17 Dec 2015","N","160","N"
"SP","164245","26 Mar 2015","N","161","N"
